Food Product,Moisture,Protein,Fat,Total Carbohydrates,Sugars,Dietary Fiber,Crude Fiber,Ash,FRAP_value
"Horse (field) bean, 'Nadwinslanski', seed, raw, milled",11.09,26.086194,1.493688,49.693085352941175,5.142595882352942,13.487942823529412,7.948554000000001,3.503054,47.03
"Common bean, 'Longina', seed, raw, milled",10.57000000000001,23.681064,1.958517,53.54262941176471,7.890978235294117,14.123036019607843,4.310525999999999,3.630858,32.99
"Field pea, 'Fidelia', seed, raw, milled",11.27000000000001,22.528547,2.830487,54.73260194117647,8.643927882,14.092688882352942,4.312278,2.732884,18.69
"Flat pea, 'Fortella', seed, raw, milled",10.5,24.6125,2.67605,51.679172411764704,5.174854705882352,13.487942823529412,5.1373,2.80135,35.29
"Garden pea, 'Elektron', seed, raw, milled",11.75,21.4271,2.762224999999999,55.93159917647059,7.662769059,15.873568999999998,2.762224999999999,2.691625,27.35
"Kidney bean, 'Eureka', seed, raw, milled",11.42999999999999,19.122263,3.967936,58.21695470588235,5.881788235294118,19.192992921568628,4.109648,4.295645,38.2
"Lentil, 'Trebisowska', seed, raw, milled",9.679999999999993,27.3218,2.854112,54.014221176470585,5.375305882352941,13.226034,3.766344,3.152168,23.43
"Velvet beans, seeds, mature, raw",9.94,20.902926,6.25917,49.271826,3.764705882352941,17.842844352941178,7.096728000000001,4.692126,30.35
"Velvet bean, var. utilis, Black, seeds, mature, raw",6.7,18.8466,5.8779,57.0996,4.342094117647058,17.744207826634614,5.167376588235294,3.3588,24.68
"Velvet bean, var. utilis, Black, seeds, mature, raw",8.5,26.8095,5.856,45.6585,4.631184117647059,16.02279335294118,5.861742705882353,3.843,43.83
"Velvet bean, var. utilis, Black, seeds, mature, raw",7.9,24.7749,6.8154,47.7999,2.9842176470588235,16.29028405882353,6.893470470588235,3.039299999999999,33.04
"Velvet bean, var. utilis, White, seeds, mature, raw",7.1,24.8043,6.8746,46.5429,3.0077470588235293,16.547532411764703,6.920723411764706,5.109500000000001,29.6
"Zaragoza bean, White, raw",8.97,21.28,0.87,61.74,8.564170588235292,19.05542039627666,3.72,3.42,31.48
"Zaragoza bean, Spotted, raw",8.58,20.24,0.95,63.44,8.109605882352941,19.168088361685765,3.03,3.76,24.58
"Zaragoza bean, Red, raw",8.47,19.6,0.96,63.14,7.192264705882354,19.626911891097528,4.09,3.74,28.03
"Brachystegia eurycoma, seeds, raw",7.5,8.75,11.5,67.2,8.583647059,12.152896960784313,4.061902117647058,2.2,14.82
"Canavalia ensiformis, seeds, raw",7.4,26.5,9.6,46.9,2.7724529411764705,17.546312823529412,5.870944882352941,2,29.95
"Brachystegia eurycoma, seeds, raw",7.6,10,13,64.4,4.812241176470588,16.11952343137255,4.694843294117647,2.3,27.04
"Canavalia ensiformis, seeds, raw",9.6,24.6,7.2,46.2,2.8986705882352943,16.96892605882353,5.967550647058823,2,35.18
"Terapy bean, White, seeds, raw",5.44,20.216928,1.059072,60.69089747058824,7.847688235294119,17.0318932,5.941865647058823,3.820224,30.73
"Terapy bean, White, seeds, raw",1.67,16.952092,1.071797,55.475068823529405,5.789441176470588,23.20313618441008,5.4691261176470585,4.670675,19.89
"Terapy bean, White, seeds, raw",4.02,22.12339,0.950202,54.57939223529412,5.241423529411765,13.17410564589435,4.232322352941176,3.781612,37.59
"Terapy bean, White, seeds, raw",2.19,17.097188,0.909633,58.27577841176471,5.890029411764706,16.96149994953064,5.589590823529412,4.372107,44.85
"Terapy bean, Brown, seeds, raw",5.54,21.82026,1.03906,59.84550835294117,6.060235294117646,17.17280889787664,5.438628235294117,3.806738,30.88
"Terapy bean, Brown, seeds, raw",5.64,21.495208,0.688828,60.1291,7.205923529411765,16.48234511937141,5.523557647058824,4.491536,24.21
"Terapy bean, Brown, seeds, raw",5.36,20.77348,0.766584,57.04963252941177,7.422999999999999,13.69174311926606,6.376149529411765,4.30612,30.78
"Terapy bean, Brown, seeds, raw",5.31,21.267374,0.909024,60.040626,7.2471,17.51535541195476,5.363996588235294,4.412554,34.81
"Terapy bean, Brown, seeds, raw",6.77,19.531685,0.978915,62.28931735294117,8.252982352941176,16.41300252652855,4.208122,4.074151000000001,14.9
"Terapy bean, Brown, seeds, raw",2.22,18.13819,0.8800200000000001,55.24889070588236,6.237458823529412,22.09176791120081,5.777678941,4.25343,19.73
"Terapy bean, Blue, seeds, raw",2.57,22.155582,1.149674,56.16045294117647,4.224370588235296,18.92993321190042,3.561734117647059,3.721826000000001,39.27
"Terapy bean, Brown speckled, seeds, raw",2.53,20.712375,1.120905,55.45162941176471,6.082417647058824,22.40281638846737,4.355851764705882,3.947535,43.44
"Terapy bean, Black, seeds, raw",7.94,20.326848,0.708862,62.12709970588236,8.305923529411768,17.14470220699385,4.122880823529412,4.133494,18.64
"Terapy bean, Black, seeds, raw",2.4,22.36016,1.00528,56.020582352941176,4.768452941,20.6501364,3.589687058823529,4.518879999999999,21.55
"Lentil, Red, raw",9.6,23,1.9,47.6,2.7,13.7,4.744478764705882,2.1,33.64
"Chickpea, Kabuli, raw",8.9,19.9,6.7,46.1,3.3,13.5,7.262585823529412,2.6,38.37
"Chickpea, Desi, raw",8.3,19.7,5.5,41.4,2.2,20.8,6.774184176470588,2.6,27.17
"Lentil, Green, raw",11.8,25.3,1.7,42.1,1.5,14.6,5.539179470588235,2.3,31.55
"Mung beans, Crystal, raw",10.3,24.5,2,43.2,2.1,13.7,5.141254999999999,3.5,23.2
"Lentil, Green, whole, large, raw",9.4,25.61,2.149718235294117,53.61322411764706,1.5,17.7,4.061534941176471,2.14,38.12
"Lentil, Green, whole, medium, raw",9.47,23.94,2.371405294117647,55.26680294117647,1.5,15.6,3.842013529411764,2.04,18.04
"Lentil, Green, whole, small, raw",8.89,25.38,2.5758611764705885,53.71814764705882,1.5,18,4.098888823529412,2.29,18.92
"Lentil, Green, whole, French, raw",9.08,25.18,2.3722511764705883,54.64514176470589,1.4,16.8,4.011044117647059,2.01,24.37
"Lentil, Red, whole, small, raw",9.05,25.29,2.372251176470588,54.64514176470588,1.2,16.9,4.086371176470588,1.76,19.21
"Lentil, Red, whole, extra small, raw",8.99,25.09,2.5758611764705885,54.96220059,1.4,21,4.011044117647058,2.21,26.48
"Pea, Green, whole, raw",9.53,18.44,2.919339823529412,59.76530447058824,2.9,26,4.731412529411764,2.26,14.05
"Pea, Yellow, whole, raw",10.36,18.66,3.327475352941176,58.11859811764706,2.2,20.4,5.527161235294118,1.8,24.37
"Chickpea, Desi, raw",6.68,20.79,2.9070094705882354,59.25765459,1.7,21.5,4.279484117647058,1.46,25.1
"Chickpea, Kabuli, raw",7.61,21.54,3.0689269411764704,56.74072647058824,2.8,12.6,4.499988823529412,1.17,9.73
"Lima bean, seeds, raw",10.379803921568628,22.0158,0.93318,57.4404,7.664543117647059,20.192819325180253,7.00338,3.18006,21.23
"Mung bean, var. Asha, seeds, fully mature, raw",9.2,18.16,1.19856,64.7404,7.096788235294119,19.810933682364062,3.8136,2.91468,33.52
"Mung bean, var. Muskan, seeds, fully mature, raw",9.7,19.9563,1.10166,61.5846,7.298735294117647,20.91193127844249,4.6956,2.95281,22.48
"Mung bean, var. Satya, seeds, fully mature, raw",8.7,20.8164,1.19603,62.9057,7.312123529411765,19.45002374220218,3.8346,2.54727,19.38
"Mung bean, var. MH 124, seeds, fully mature, raw",8.7,17.4383,1.13212,65.6447,6.935670588235294,18.088055865850297,4.1998,2.84856,19.19
"Mung bean, var. MH 125, seeds, fully mature, raw",8.3,20.9993,1.12791,61.8058,7.312123529411766,18.88573542050929,4.9518,2.82436,17.6
"Mung bean, var. MH 318, seeds, fully mature, raw",9.7,18.7824,1.36353,63.1197,7.096788235294119,21.15655314,3.7023,3.295949999999999,23.15
"Mung bean, var. MH 421, seeds, fully mature, raw",8.8,16.3248,1.05792,66.8496,6.849200000000001,16.493601564717004,4.0128,3.07344,20.46
"Mung bean, var. MH 539, seeds, fully mature, raw",8.9,20.6797,1.23896,61.8569,8.752676470588236,19.33777333745313,4.2817,3.05185,28.96
"Mung bean, var. MH 560, seeds, fully mature, raw",8,18.032,1.3616,64.12400000000001,6.936223529411765,19.47520689109753,4.784000000000001,3.7536,25.91
"Mung bean, var. MH 564, seeds, fully mature, raw",9.5,19.0955,1.4842,63.25950000000001,7.360282352941176,20.185852847069945,4.0725,2.61545,23.85
"Cowpea, Black, seeds, whole, raw",7.88,20.78,1.54,64.26,7.395923529411766,18.743035752620724,1.48,4.06,21.93
"Cowpea, White, seeds, whole, raw",8.92,22.34,2.08,60.55,8.272537882352943,18.818845134234778,1.88,4.23,26.11
"Cowpea, Black/white speckled, seeds, whole, raw",7.81,27.22,1.36,58.19,6.233047058823529,16.265936546005353,1.42,4,32.58
"Cowpea, Red, seeds, whole, raw",9.94,21.66,0.63,62.29,8.846949647058823,21.08083863138367,1.39,4.09,31.56
"Kidney bean, Red, seeds, whole, raw",9.39,23.83,1.5,60.14,6.925417647058824,18.592353542602467,1.29,3.85,25.35
"Cowpea, var. Adzuki, Maroon, seeds, raw",9.328823529411764,28.0462,1.876,56.749,6.338835294117648,16.290028564184006,3.4706,3.6582,40.12
"Cowpea, var. New Era, Dark brown, seeds, raw",15.068823529411766,30.2203,1.4608,54.5061,6.338835294117647,13.664443,3.0129,2.0999,34.02
"Cowpea, var. Nig. A95, White, seeds, raw",9.422352941176472,24.881,1.7005,57.01150000000001,6.118182352941177,17.590309107196358,3.222,2.7745,20.78
"Cowpea, var. Farin Juda C, Cream with mottled brown back, seeds, raw",9.435294117647056,28.0275,2.035,56.3325,6.163541176470589,16.290028564184006,3.2375,2.8675,32.67
"Cowpea, var. West bred, Cream, seeds, raw",9.450588235,23.3748,1.5402,59.9772,9.327249647058824,18.62696635413711,2.718,2.9898,31.5
"Cowpea, var. Nig. B4, Brown, seeds, raw",9.614705882352942,25.665,1.8585,56.463,6.181123529411765,16.86881655817675,1.77,2.7435,39.82
"Cowpea, var. Mala, Cream, seeds, raw",10.409411764705885,23.706,1.756,55.8408,7.837658823529413,17.578439460137535,3.424199999999999,3.1608,33.32
"Cowpea, var. Nig. A104, White, seeds, raw",9.300392156862744,22.9941,1.762,57.79359999999999,9.299184941176472,18.979587501650844,2.5549,2.9954,32.18
"Cowpea, var. Nig. B7, Brown, seeds, raw",9.41,25.3851,1.794,57.0492,6.118182352941176,17.999185290688793,1.8837,3.8571,28.74
"Cowpea, var. Prima, Cream, seeds, raw",9.438627450980391,23.161,2.0976,57.9462,8.959773176,18.39859311182115,1.4858,2.622,20.01
"Cowpea, var. Kano 2479, White, seeds, raw",10.060588235294118,24.9606,1.323,54.77220000000001,6.118182352941177,16.144546734647335,3.1752,3.969,33.13
"Cowpea, var. Kano 1696, White, seeds, raw",10.148823529411764,25.6082,1.4858,53.2266,6.118182352941176,15.586097408543164,2.7968,4.2826,29.54
"Cowpea, var. Line 7, Cream, seeds, raw",9.184705882,26.2735,1.2155,58.99850000000001,6.260717647058823,17.999185290688793,3.2725,3.8335,32.88
"Cowpea, var. Anna, White, seeds, raw",11.091176470588236,27.4122,1.3095,51.0705,6.687776470588236,13.739193788235292,2.9682,4.6269,37.82
"Cowpea, var. Ima, Cream, seeds, raw",9.549215686274508,23.6016,1.6986,56.76900000000001,7.893637882352941,18.307114560474368,2.7714,4.6488,43.08
"Cowpea, var. Kudi, White, seeds, raw",10.297647058823529,23.8656,1.8984,58.48880000000001,7.387694117647059,17.999185290688793,2.8928,3.2544,31.84
"Cowpea, var. Ayi, Cream, seeds, raw",9.566470588235294,24.728,1.672,55.528,6.118182352941176,16.86881655817675,2.992,3.256,41.31
"Cowpea, var. Ife, Brown, seeds, raw",9.52,24.66,1.8,57.15,6.118182352941177,17.999185290688793,2.7,3.15,44.54
"Cowpea, var. FARV 13, Dark Marron, seeds, raw",9.411372549019609,22.1154,1.6182,59.6936,7.870025470588236,20.11234245459202,2.4273,3.9556,11.86
"Cowpea, var. TVu 4557, Cream, seeds, raw",10.338235294117649,23.9766,1.706199999999999,57.023,7.274988235294118,18.45480949139201,3.5022,3.6818,34.04
"Cowpea, var. Kannanado, White, seeds, raw",7.99,18.254784,3.183546,56.383728,6.898547058823531,17.501632349030732,1.858602,3.109938,23.48
