Moisture,Protein,Fat,Total Carbohydrates,Sugars,Dietary Fiber,Crude Fiber,Ash
9.40000000000001,9.33,5.195398941176471,58.7,9.704494117647059,17.214,4.256683176470588,1.44
10.1,6.65,3.7640224705882352,64.18,12.798611764705882,14.0244,3.847745764705882,1.52
11.39,12.369956,5.028300588235294,66.590415,7.983335294117645,12.157292,1.7722,2.995018
10.78,13.534674,3.2594788235294114,64.657734,7.983335294117647,12.588942,2.739054,3.140544
12.03,13.608959,3.9901494117647056,60.558548,7.18824705882353,14.066403,2.973386,4.803162
12.62,12.696314,3.9643076470588237,66.251516,7.633211764705883,11.848728,1.677696,2.656352
10.8,11.5068,4.221641882352941,56.8204,7.20275294117647,12.3988,4.74388694117647,2.676
8.2,14.8,5.3,57.19200752941176,7.507623529411765,8.8,5.497376588235293,2.6
13.07,9.29,6.63,65.54893801960783,13.049788235294116,7.324353431372549,1.49,3.06
12.06,12.6,5.22,58.97597331372549,6.234582352941177,11.589421470588235,4.37,6.63
12.42,9.08,5.37,64.66202821568628,9.662652941176471,7.627073431372549,5.21,7.69
12.14,13.25,5.12,60.484208607843144,6.559458823529412,10.270205784313726,2.44,4.31
10.93,10.23,5.99,68.25952625490197,8.584164705882351,7.494661666666666,1.71,2.27
9.95,12.49,6.77,60.52599684313726,5.990047058823529,10.157499901960785,1.04,3.09
12.47,12.54,6.0,62.23658507843137,6.376517647058823,8.816589313725489,2.65,2.92
9.0,15.7,5.7,58.56947423529412,6.961523529411765,10.3,5.1262267058823525,3.1
10.13,13.18,4.197457647058823,63.6,6.278282352941176,12.477786960784314,4.23,2.34
11.51,13.48,4.2753258823529405,59.4,6.278282352941177,12.422956176470587,7.04,2.27
12.3,7.62113,2.12234,74.30125882352942,19.247411764705884,0.6928300000000001,4.473801647058824,1.20149
12.4,7.95408,2.31264,73.7530705882353,16.300623529411766,0.67452,4.299684,1.06872
11.2,7.29048,0.5150399999999999,73.7530705882353,16.511317647058824,0.3463199999999999,4.630748705882353,0.8347199999999999
11.6,7.717320000000002,0.54808,73.7530705882353,16.511317647058824,0.34476,4.473801647058824,0.74256
11.18,6.252928,2.08727,72.9440925490196,19.31564705882353,4.583068431372549,0.781616,1.190188
11.08,6.962436,2.054052,72.15627049019609,16.57955294117647,4.583068431372548,0.764712,1.164852
11.0,8.3,1.04,72.9126931372549,14.180135294117648,6.6,3.9353014117647063,0.8
11.5,8.5,0.82,71.66975196078431,13.523352941176471,6.8,3.9353014117647063,0.8
13.1,8.27288,2.15512,71.32105084313726,19.73349411764706,6.094469607843137,0.45188,1.23398
13.0,6.9339,2.262,71.70518319607844,19.32415294117647,4.7999978431372545,0.3741,1.3398
13.6,6.868800000000001,1.77984,71.21987437254903,22.49792941176471,4.767640666666666,0.45792,1.09728
8.44,7.38,2.41,79.62,14.205523529411764,0.83,2.728854588235294,1.33
9.39,8.21,2.42,77.52,14.205523529411764,1.05,2.728854588235294,1.43
9.05,6.87,2.46,79.46,14.180135294117648,0.94,2.7288545882352944,1.23
7.77,6.73,2.7,80.53,14.597376470588236,1.06,2.728854588235294,1.21
