Food name in English;WATER(g);PROTCNT(g);FATCE(g);CHOAVLDF(g);SUGAR(g);FIBTG(g);FIBND(g);FIBAD(g);FIBC(g);ASH(g);CELLU(g);LIGN(g);HEMCEL(g)
Limea bean, seeds, raw;12.9;15.2425;;;;;;;;4.20693;;;
Mung bean, var. NM-92, seeds, raw;4.05;13.2;1.15;;;;;;;4.29;;;
Mung bean, var. NM-98, seeds, raw;4.04;14.77;2.26;;;;;;;3.51;;;
Mung bean, var. NM-06, seeds, raw;4;17.05;1.68;;;;;;;3.93;;;
Mung bean, var. Asha, seeds, fully mature, raw;9.2;18.16;1.19856;64.7404;;;;;3.8136;2.91468;;;
Mung bean, var. Muskan, seeds, fully mature, raw;9.7;19.9563;1.10166;61.5846;;;;;4.6956;2.95281;;;
Mung bean, var. Satya, seeds, fully mature, raw;8.7;20.8164;1.19603;62.9057;;;;;3.8346;2.54727;;;
Mung bean, var. MH 124, seeds, fully mature, raw;8.7;17.4383;1.13212;65.6447;;;;;4.1998;2.84856;;;
Mung bean, var. MH 125, seeds, fully mature, raw;8.3;20.9993;1.12791;61.8058;;;;;4.9518;2.82436;;;
Mung bean, var. MH 318, seeds, fully mature, raw;9.7;18.7824;1.36353;63.1197;;;;;3.7023;3.29595;;;
Mung bean, var. MH 421, seeds, fully mature, raw;8.8;16.3248;1.05792;66.8496;;;;;4.0128;3.07344;;;
Mung bean, var. MH 539, seeds, fully mature, raw;8.9;20.6797;1.23896;61.8569;;;;;4.2817;3.05185;;;
Mung bean, var. MH 560, seeds, fully mature, raw;8;18.032;1.3616;64.124;;;;;4.784;3.7536;;;
Mung bean, var. MH 564, seeds, fully mature, raw;9.5;19.0955;1.4842;63.2595;;;;;4.0725;2.61545;;;
Cowpea, Black, seeds, whole, raw;7.88;20.78;1.54;64.26;;;;;1.48;4.06;;;
Cowpea, White, seeds, whole, raw;8.92;22.34;2.08;60.55;;;;;1.88;4.23;;;
Cowpea, Black/white speckled, seeds, whole, raw;7.81;27.22;1.36;58.19;;;;;1.42;4;;;
Cowpea, Red, seeds, whole, raw;9.94;21.66;0.63;62.29;;;;;1.39;4.09;;;
Kidney bean, Red, seeds, whole, raw;9.39;23.83;1.5;60.14;;;;;1.29;3.85;;;
Mung bean, 'M-1', seeds, raw;4.86;19.950858;1.14168;;;;;;;3.168162;;;
Mung bean, 'M-6', seeds, raw;5.98;22.809252;1.288074;;;;;;;2.782992;;;
Mung bean, 'NM-92', seeds, raw;6.16;20.344512;1.31376;;;;;;;3.181176;;;
Mung bean, 'NM-98', seeds, raw;5.09;29.725812;1.480596;;;;;;;3.046611;;;
Mung bean, var. Bangasa, seeds, raw;;;;;;;;;;;;;
Mung bean, Sona, seeds, raw;8.67;;;;;;;;;;;;
Pea, Italiane, seeds, raw;;;2.85;;;;;;;;;;
Pea, Progress, seeds, raw;;;2.6;;;;;;;;;;
Pea, Utrillo, seeds, raw;;;2.57;;;;;;;;;;
Pea, Promotor, seeds, raw;;;2.9;;;;;;;;;;
Pea, Utrillho, seeds, raw;;;2.76;;;;;;;;;;
Pea, Attika, seeds, raw;;;2.74;;;;;;;;;;
Pea, Classic, seeds, raw;;;1.56;;;;;;;;;;
Pea, Cheyenne, seeds, raw;;;1.99;;;;;;;;;;
Common bean, Hi18–15, seeds, raw;;;2.01;;;;;;;;;;
Common bean, Hi21–16, seeds, raw;;;2.67;;;;;;;;;;
Common bean, Hi32–21, seeds, raw;;;1.99;;;;;;;;;;
Common bean, Hi18–15, seeds, raw;;;2.37;;;;;;;;;;
Common bean, Hi21–16, seeds, raw;;;2.41;;;;;;;;;;
Common bean, Hi32–21, seeds, raw;;;2.33;;;;;;;;;;
Common bean, Shijak, seeds, raw;;;2.17;;;;;;;;;;
Common bean, Black, seeds, raw;;;1.95;;;;;;;;;;
Common bean, Red, seeds, raw;;;2.99;;;;;;;;;;
Broad bean, 'Dorotea', seeds, raw;;;1.75;;;;;;;;;;
Broad bean, 'Irena', seeds, raw;;;1.62;;;;;;;;;;
Broad bean, 'Scuro', seeds, raw;;;1.33;;;;;;;;;;
Broad bean, 'Sicania', seeds, raw;;;1.24;;;;;;;;;;
Cowpea, var. Cuarenton, seeds, raw;10.5;24.1292;;;;;;;4.09015;3.9917;;;
Cowpea, var. Colorado, seeds, raw;10.77;24.779171;;;;;;;3.935043;4.059965;;;
Cowpea, var. San Francisco, seeds, raw;9.91;23.756733;;;;;;;4.225221;4.090086;;;
Cowpea, var. Z1, seeds, raw;12.88;24.977304;;;;;;;3.7026;4.09464;;;
Cowpea, 'BRS-Milênio', seeds, raw;6;;;48.316;;18.236;;;;2.444;;;
Cowpea, 'BRS Xiquexique', seeds, raw;9.38;;;;;;;;;;;;
Cowpea, 'BRS Tumucumaque', seeds, raw;9.77;;;;;;;;;;;;
Cowpea, 'BRS Aracê', seeds, raw;10.41;;;;;;;;;;;;
Cowpea, 'BRS Guariba', seeds, raw;8.58;;;;;;;;;;;;
Cowpea, 'BR-17 Gurguéia', seeds, raw;9.29;;;;;;;;;;;;
Cowpea, var. 462, Maroon, seeds, raw;11.7;22.6931;;;;;;;;;;;
Cowpea, var. Bechuana, White, seeds, raw;8.9;21.864;;;;;;;;;;;
Cowpea, var. EPACE 10, Brown, seeds, raw;14.3;20.32804;;;;;;;;3.54798;;;
Cowpea, var. EPACE 11, Brown, seeds, raw;12.64;17.0352;;;;;;;;2.79552;;;
Cowpea, var. Pitiuba, Brown, seeds, raw;12.67;18.3393;;;;;;;;3.178812;;;
Cowpea, var. Tvu 1888, Brown, seeds, raw;12.01;18.495498;;;;;;;;2.894871;;;
Cowpea, var. IPA 206, Brown, seeds, raw;13.4;22.6026;;;;;;;;3.22152;;;
Cowpea, var. Olho de Ovelha, White, seeds, raw;13.08;21.738692;;;;;;;;2.99874;;;
Cowpea, 'Kano 1696', seeds, raw;14.5;24.0255;2.1375;;;;;;;4.0185;;;
Cowpea, 'IT82E-60', seeds, raw;15.2;21.7088;1.7808;;;;;;;3.392;;;
Cowpea, 'Tvx 3236', seeds, raw;12.3;18.5924;1.5786;;;;;;;3.0695;;;
Cowpea, 'Ife Brown', seeds, raw;11.5;21.8595;1.77;;;;;;;3.4515;;;
Cowpea, TVu 662, Brown-black, seeds, raw;11.6;27.6692;;;;;;;;;;;
Cowpea, TVu 1469, Brown-beige, seeds, raw;13.2;23.1756;;;;;;;;;;;
Cowpea, TVu 201-1D, Mottled beige-brown and red-brown, seeds, raw;11.1;22.8473;;;;;;;;;;;
Cowpea, TVu 4248, Cream, seeds, raw;10.1;22.475;;;;;;;;;;;
Cowpea, TVx 3-5G, Dark brown, seeds, raw;12.3;23.0651;;;;;;;;;;;
Cowpea, TVu 3671, Green-cream, seeds, raw;10.9;22.8096;;;;;;;;;;;
Cowpea, TVu 1035, Red-brown, seeds, raw;11.1;25.0698;;;;;;;;;;;
Cowpea, TVu 4057, Mottled green-cream and brown-cream, seeds, raw;11.9;24.2275;;;;;;;;;;;
Cowpea, TVx 12-01E, Mottled dark red-browm and cream, seeds, raw;11.4;24.808;;;;;;;;;;;
Cowpea, K 2809, Mottled dark red-browm and cream, seeds, raw;12.7;21.3012;;;;;;;;;;;
Cowpea, 4S 3438, Mottled cream and dark brown, seeds, raw;10.3;26.013;;;;;;;;;;;
Cowpea, TVx 1836-19E, Green-cream, seeds, raw;11.9;24.2275;;;;;;;;;;;
Cowpea, TVx 2112, Beige, seeds, raw;10.3;26.2821;;;;;;;;;;;
Cowpea, TVu 4557, Mottled green-cream and light brown, seeds, raw;11.6;23.0724;;;;;;;;;;;
Cowpea, TVu 4186, Light green-cream, seeds, raw;10;24.03;;;;;;;;;;;
Cowpea, TVu 76, Brown-cream, seeds, raw;11.5;25.2225;;;;;;;;;;;
Cowpea, TVx 1193-059D, Red-brown, seeds, raw;12.1;24.1725;;;;;;;;;;;
Cowpea, TVu 2321, Mottled dark and light beige, seeds, raw;12.2;23.267;;;;;;;;;;;
Cowpea, TVu 57, Mottled dark brown and black, seeds, raw;12.1;23.9088;;;;;;;;;;;
Cowpea, TVu 354, Mottled dark brown and black, seeds, raw;11.8;23.814;;;;;;;;;;;
Cowpea, TVu 4552, Mottled yellow-cream and light brown, seeds, raw;11.2;24.42;;;;;;;;;;;
Cowpea, Cream, seeds, raw;10;20.7;;;;;;;;;;;
Cowpea, Cream, seeds, raw;9.6;20.8824;;;;;;;;;;;
Cowpea, var. Adzuki, Maroon, seeds, raw;;28.0462;1.876;56.749;;;;;3.4706;3.6582;5.3466;1.6884;
Cowpea, var. New Era, Dark brown, seeds, raw;;30.2203;1.4608;54.5061;;;;;3.0129;2.0999;6.2997;1.2782;
Cowpea, var. Nig. A95, White, seeds, raw;;24.881;1.7005;57.0115;;;;;3.222;2.7745;3.58;0.895;
Cowpea, var. Farin Juda C, Cream with mottled brown back, seeds, raw;;28.0275;2.035;56.3325;;;;;3.2375;2.8675;3.9775;0.555;
Cowpea, var. West bred, Cream, seeds, raw;;23.3748;1.5402;59.9772;;;;;2.718;2.9898;4.53;0.8154;
Cowpea, var. Nig. B4, Brown, seeds, raw;;25.665;1.8585;56.463;;;;;1.77;2.7435;4.3365;0.7965;
Cowpea, var. Mala, Cream, seeds, raw;;23.706;1.756;55.8408;;;;;3.4242;3.1608;4.829;0.878;
Cowpea, var. Nig. A104, White, seeds, raw;;22.9941;1.762;57.7936;;;;;2.5549;2.9954;3.7002;1.2334;
Cowpea, var. Nig. B7, Brown, seeds, raw;;25.3851;1.794;57.0492;;;;;1.8837;3.8571;4.485;0.7176;
Cowpea, var. Prima, Cream, seeds, raw;;23.161;2.0976;57.9462;;;;;1.4858;2.622;2.185;0.5244;
Cowpea, var. Kano 2479, White, seeds, raw;;24.9606;1.323;54.7722;;;;;3.1752;3.969;3.969;0.6174;
Cowpea, var. Kano 1696, White, seeds, raw;;25.6082;1.4858;53.2266;;;;;2.7968;4.2826;3.933;0.5244;
Cowpea, var. Line 7, Cream, seeds, raw;;26.2735;1.2155;58.9985;;;;;3.2725;3.8335;4.7685;0.6545;
Cowpea, var. Anna, White, seeds, raw;;27.4122;1.3095;51.0705;;;;;2.9682;4.6269;5.5872;0.873;
Cowpea, var. Ima, Cream, seeds, raw;;23.6016;1.6986;56.769;;;;;2.7714;4.6488;5.4534;0.894;
Cowpea, var. Kudi, White, seeds, raw;;23.8656;1.8984;58.4888;;;;;2.8928;3.2544;4.52;0.8136;
Cowpea, var. Ayi, Cream, seeds, raw;;24.728;1.672;55.528;;;;;2.992;3.256;4.928;0.704;
Cowpea, var. Ife, Brown, seeds, raw;;24.66;1.8;57.15;;;;;2.7;3.15;4.14;0.72;
Cowpea, var. FARV 13, Dark Marron, seeds, raw;;22.1154;1.6182;59.6936;;;;;2.4273;3.9556;5.8435;0.9889;
Cowpea, var. TVu 4557, Cream, seeds, raw;;23.9766;1.7062;57.023;;;;;3.5022;3.6818;4.1308;0.9878;
Hyacinth beans, seeds, mature, raw;;20.774825;;60.447738;;;;;7.245512;3.744137;;;
Pigeon pea, seeds, mature, raw;;21.785536;;57.671984;;;;;9.46589;3.478598;;;
Vetch, var. Commune, seeds, mature, raw;;;;;;;;;;;;;
Vetch, var. Languedoc, seeds, mature, raw;;;;;;;;;;;;;
Vetch, var. Mghila, seeds, mature, raw;;;;;;;;;;;;;
Common vetch, IFLVS 545, seeds, mature, raw;;30.5098098;;;;;;;;;;;
Common vetch, IFLVS 1134, seeds, mature, raw;;27.8197848;;;;;;;;;;;
Common vetch, IFLVS 1135, seeds, mature, raw;;27.4600368;;;;;;;;;;;
Common vetch, IFLVS 1136, seeds, mature, raw;;31.1600359;;;;;;;;;;;
Common vetch, IFLVS 1437, seeds, mature, raw;;31.3698824;;;;;;;;;;;
Common vetch, IFLVS 1448, seeds, mature, raw;;27.879865;;;;;12.395084;8.6203;;3.243955;;;
Common vetch, IFLVS 2019, seeds, mature, raw;;28.6502832;;;;;;;;;;;
Common vetch, IFLVS 2037, seeds, mature, raw;;26.650449;;;;;12.2926158;8.6583402;;3.2929398;;;
Common vetch, IFLVS 2044, seeds, mature, raw;;32.2801986;;;;;;;;;;;
Common vetch, IFLVS 2057, seeds, mature, raw;;31.2495768;;;;;;;;;;;
Common vetch, IFLVS 2062, seeds, mature, raw;;27.03957;;;;;;;;;;;
Common vetch, IFLVS 2065, seeds, mature, raw;;28.650316;;;;;;;;;;;
Common vetch, IFLVS 2083, seeds, mature, raw;;28.9101295;;;;;;;;;;;
Common vetch, IFLVS 2086, seeds, mature, raw;;29.3502477;;;;;;;;;;;
Common vetch, IFLVS 2096, seeds, mature, raw;;29.8201878;;;;;;;;;;;
Common vetch, IFLVS 2106, seeds, mature, raw;;27.8401792;;;;;;;;;;;
Common vetch, IFLVS 2108, seeds, mature, raw;;29.240406;;;;;13.3860065;6.852824;;3.321374;;;
Common vetch, IFLVS 2109, seeds, mature, raw;;27.4117056;;;;;;;;;;;
Common vetch, IFLVS 2556, seeds, mature, raw;;28.4002125;;;;;;;;;;;
Common vetch, IFLVS 2557, seeds, mature, raw;;27.5797324;;;;;;;;;;;
Common vetch, IFLVS 2539, seeds, mature, raw;;35.2041046;;;;;;;;;;;
Common vetch, IFLVS 2603, seeds, mature, raw;;25.6096645;;;;;;;;;;;
Common vetch, IFLVS 2560, seeds, mature, raw;;30.1896626;;;;;;;;;;;
Common vetch, IFLVS 2559, seeds, mature, raw;;27.4975506;;;;;14.13113769;6.31666284;;2.60422233;;;
Cowpea, var. Kannanado, White, seeds, raw;7.99;18.254784;3.183546;56.383728;;;;;1.858602;3.109938;;;
Cowpea, var. Dan Borno, Brown, seeds, raw;9.1;20.11617;3.42693;53.37648;;;;;1.20897;3.29058;;;
Cowpea, var. IT93K-452-1, White, seeds, raw;7.83;20.839637;4.129216;52.195871;;;;;2.230514;3.760536;;;
Cowpea, var. IT95K-499s-35, White, seeds, raw;6.8;22.25616;4.1474;52.27588;;;;;2.02244;4.15672;;;
Cowpea, var. IAR 48, Brown, seeds, raw;8.6;24.32154;3.64686;50.1329;;;;;1.26132;3.50976;;;
Great Northern beans, raw;10.65;19.58;;;2.9;22.8;;;;3.93;;;
Kidney beans, raw;10.75;20.73;;;3.5;21.1;;;;3.55;;;
Common bean, Black, raw;7.36;21.52;;;3.2;21.6;;;;4.34;;;
Common bean, Yellow, raw;11.39;18.07;;;3.3;18.6;;;;3.85;;;
Common bean, Red, small, raw;9.54;20.87;;;2.7;22.6;;;;3.9;;;
Common bean, Pinto, raw;10.86;18.75;;;2.5;20.4;;;;3.9;;;
Common bean, Navy, raw;12.01;20.1;;;2.2;17.5;;;;3.93;;;
Green gram, Malviya-12, seeds, raw;13.39;21;;53.97;;;;;6.45;3.99;;;
V. aconitifolia, seeds, raw;6.54;21.40234;3.299138;61.935942;;;;;4.177662;2.644918;;;
V. vexillata, seeds, raw;10.11;22.005072;1.420262;60.433047;;;;;3.200084;2.831535;;;
Lentil, var. Blaze, Red, seeds, whole, raw;10.86;26.180418;0.374388;;;9.769744;;;;2.103704;;;
Lentil, var. Laird, Green, seeds, whole, raw;11.75;23.465675;0.661875;;;8.551425;;;;2.038575;;;
Cowpea, var. CS-46, Brown, seeds, raw;13.2;24.6;1.81;;7.7;;;;4.95;3.44;;;
Cowpea, var. CS-88, Brown, seeds, raw;10.95;20.07;1.96;;6.47;;;;4.27;3.59;;;
Cowpea, var. Cherodhi, Brown, seeds, raw;11.07;22.66;1.86;;7.69;;;;4.6;3.62;;;
Cowpea, var. GC-89691, Brown, seeds, raw;13;23.04;1.77;;8.24;;;;4.34;3.65;;;
Chickpea, var. Evros, seeds, raw;6;;;;;;;;;2.773;;;
Chickpea, var. Amorgos, seeds, raw;7.03;;;;;;;;;2.724021;;;
Chickpea, var. Gravia, seeds, raw;5.98;;;;;;;;;2.604354;;;
Chickpea, var. Evros, seeds, raw;6.03;;;;;;;;;2.687542;;;
Chickpea, var. Amorgos, seeds, raw;7.9;;;;;;;;;2.89194;;;
Chickpea, var. Gravia, seeds, raw;4.91;;;;;;;;;2.643502;;;
Chickpea, var. Evros, seeds, raw;9.1;;;;;;;;;2.95425;;;
Chickpea, var. Amorgos, seeds, raw;8.44;;;;;;;;;2.83836;;;
Chickpea, var. Gravia, seeds, raw;6.45;;;;;;;;;2.73166;;;
Chickpea, var. Evros, seeds, raw;8.37;;;;;;;;;2.886345;;;
Chickpea, var. Amorgos, seeds, raw;7.62;;;;;;;;;2.90997;;;
Chickpea, var. Gravia, seeds, raw;8.64;;;;;;;;;2.685984;;;
Chickpea, var. Evros, seeds, raw;6.45;;;;;;;;;2.84392;;;
Chickpea, var. Amorgos, seeds, raw;5.25;;;;;;;;;2.7667;;;
Chickpea, var. Gravia, seeds, raw;4.59;;;;;;;;;2.518824;;;
Chickpea, var. Evros, seeds, raw;7.17;;;;;;;;;3.06339;;;
Chickpea, var. Amorgos, seeds, raw;6.89;;;;;;;;;2.942276;;;
Chickpea, var. Gravia, seeds, raw;6.94;;;;;;;;;2.83833;;;
Chickpea, Kabuli, seeds, raw;;26.39;5.46;;;;;;5.46;2.73;;;
Chickpea, Desi, seeds, raw;;22;3.96;;;;;;7.92;2.816;;;
Chickpea, var. Surutato, seeds, raw;6.9;;;64.3;;;;;;3.4;;;
Chickpea, var. Sonora, seeds, raw;7.5;;;61.2;;;;;;2.9;;;
Chickpea, var. Porquero, seeds, raw;7.3;;;57.3;;;;;;3.2;;;
Chickpea, var. Macarena, seeds, raw;6.5;;;60.5;;;;;;2.8;;;
Chickpea, var. Breve Duro, seeds, raw;6.9;;;63.3;;;;;;2.9;;;
Chickpea, var. Surutato 77, seeds, raw;7.3;;;60.9;;;;;;3;;;
Chickpea, var. Sonora 80, seeds, raw;7.4;;;63.5;;;;;;3.3;;;
Chickpea, Desi, 'Amethyst', seeds, whole, raw;10.9;14.00652;;;4.12533;;;;;3.27888;;11.1375;
Chickpea, Desi, 90101-57Q, seeds, whole, raw;9.41;17.628814;;;3.71419;;;;;3.161591;;10.8708;
Chickpea, Desi, 9105-33N, seeds, whole, raw;11.17;18.183501;;;4.112829;;;;;3.055752;;8.43885;
Chickpea, Kabuli, 'Bumper', seeds, whole, raw;10.05;18.42176;;;4.488505;;;;;3.40011;;10.794;
Red gram, seeds, raw;13.4;;;;;;;;;;;;
Faba bean, 'Alen', seeds, raw;;25.9578;1.2236;;;;12.1486;10.1384;7.2542;;8.8274;1.2236;2.0976
Faba bean, 'Kamir', seeds, raw;;27.2646;1.1583;;;;12.474;9.9792;7.128;;9.0882;0.891;2.4057
Faba bean, 'Martin', seeds, raw;;24.7638;1.341;;;;13.857;9.834;7.0626;;8.94;0.894;4.023
Faba bean, 'Tibo', seeds, raw;;24.9288;1.1492;;;;12.5528;9.8124;6.5416;;9.0168;0.7072;2.7404
Common bean, var. Big Brown, seeds, raw;7.81;23.36;2.92;60.6;;;;;3.2;2.15;;;
Common bean, var. Small Brown, seeds, raw;8.4;23.88;3.14;56.92;;;;;3.72;4.27;;;
Common bean, var. Big Light Brown, seeds, raw;8.44;23.82;2.3;56.94;;;;;3.24;4.89;;;
Common bean, var. Pecked White, seeds, raw;8.95;22.64;6.44;40.5;;;;;3.22;18.9;;;
Common bean, var. Big White, seeds, raw;11.07;26.35;3.23;51.06;;;;;4.03;4.72;;;
Common bean, var. Small White, seeds, raw;9.36;25.19;3.17;53.6;;;;;3.61;3.81;;;
Common bean, var. French bean, seeds, raw;14.54;32.58;4.2;26.7;;;;;7.4;11.6;;;
Black bean, var. Negro Querétaro, seeds, raw;8.35;23.36;5.07;;3.44;;;;2.12628;3.62;;;
Cowpea, var. Asmerly, seeds, raw;10.67;19.974188;1.849131;61.601968;;;;;3.367741;2.536972;;;
Kidney bean, var. Giza 3, White, seeds, raw;11.67;21.958838;1.625272;57.264339;;;;;3.453703;4.027848;;;
Kidney bean, seeds, raw;10.2;25.25176;1.19434;56.72666;;;;;2.77482;3.85242;;;
Pea, seeds, raw;8.11;19.866618;2.232927;62.806815;;;;;4.282074;2.701566;;;
Common bean, var. Sinaloa, seeds, raw;9.6;22.20224;1.37408;58.76904;;;;;3.9776;4.07704;;;
Common bean, var. Azufrado Higuera, seeds, raw;10;22.689;1.413;57.69;;;;;4.392;3.816;;;
Common bean, var. Regional 87, seeds, raw;9;22.3587;1.365;59.5413;;;;;3.822;3.913;;;
Common bean, var. Noroeste T-7, seeds, raw;9;20.9482;1.1557;61.2157;;;;;3.9403;3.7401;;;
Common bean, var. Peruano, seeds, raw;11.5;19.3107;2.0355;58.47195;;;;;4.64625;4.0356;;;
Common bean, var. Azufrado Pacífico, seeds, raw;11;21.7605;1.335;56.9155;;;;;4.9395;4.0495;;;
Common bean, var. Pimono 78, seeds, raw;10;23.796;0.891;55.71;;;;;5.688;3.915;;;
Common bean, var. Criollo Don Carlos, seeds, raw;10.4;20.8768;1.73824;58.07872;;;;;5.152;3.75424;;;
Common bean, var. San Francisco, seeds, raw;10;20.277;1.485;58.851;;;;;5.571;3.816;;;
Common bean, var. Madero, seeds, raw;10;20.277;1.107;60.57;;;;;4.221;3.825;;;
Common bean, var. MAM-38, seeds, raw;9;18.7551;1.8291;61.8891;;;;;4.9049;3.6218;;;
Common bean, var. Pinto Villa, seeds, raw;9;20.3476;1.2012;61.0792;;;;;5.096;3.276;;;
Common bean, var. V-8025, seeds, raw;9.6;19.3456;1.4464;59.95328;;;;;5.4692;4.18552;;;
Common bean, var. Azufrado Tapatio, seeds, raw;12;25.3176;1.1968;52.2896;;;;;5.5792;3.6168;;;
Kidney bean, 'Majesty', seeds, raw;10.3;21.528;;;;;;;;;;;
Kidney bean, 'Red Kanner', light red, seeds, raw;9.7;20.8593;;;;;;;;;;;
Navy bean, 'AC Nautica', seeds, raw;9.1;24.1794;;;;;;;;;;;
Common bean, Black, 'UI 906', seeds, raw;9.25;23.531475;1.442925;;;;;;;4.219875;;;
Common bean, Black, 'UI 906', seeds, raw;9.04;23.494968;1.382592;;;;;;;4.18416;;;
Common bean, Black, 'UI 906', seeds, raw;8.32;23.525088;1.411872;;;;;;;4.318128;;;
Common bean, Brown, PI-163579, seeds, raw;12.6;19.228;0.874;;6.9046;;;;;3.4086;;;
Common bean, Light brown, PI-169735, seeds, raw;9.5;19.6385;1.448;;6.516;;;;;3.801;;;
Common bean, Purple with tan speckles, PI-171790, seeds, raw;10.2;21.4622;1.1674;;11.9434;;;;;2.3348;;;
Common bean, Solid tan (brown), PI-176684, seeds, raw;11.5;12.4785;0.9735;;12.8325;;;;;3.717;;;
Common bean, Solid black, PI-201374, seeds, raw;13.3;16.473;1.2138;;12.2247;;;;;3.7281;;;
Common bean, Solid black, PI-310711, seeds, raw;12.1;20.9202;1.2306;;6.3288;;;;;1.8459;;;
Common bean, Solid black, PI-345576, seeds, raw;11.1;28.9814;0.889;;8.0899;;;;;3.7338;;;
Common bean, Solid tan (brown), PI-370569, seeds, raw;9.9;23.6963;1.4416;;20.5428;;;;;1.802;;;
Common bean, Solid tan, PI-379435, seeds, raw;10.7;18.0386;1.1609;;12.5913;;;;;1.6967;;;
Common bean, Beige, PI-414831, seeds, raw;10.1;19.1487;1.1687;;18.0699;;;;;3.596;;;
Common bean, Light brown with dark stripes, PI-176712, seeds, raw;12;19.536;1.056;;6.864;;;;;2.816;;;
Common bean, Brown with purple stripes, PI-177761, seeds, raw;12.4;19.0092;0.9636;;5.1684;;;;;3.4164;;;
Common bean, Tan with purple speckles, PI-177763, seeds, raw;10.3;21.1692;0.9867;;5.8305;;;;;3.588;;;
Common bean, Tan with dark speckles, PI-205211, seeds, raw;12.6;19.3154;0.9614;;7.1668;;;;;3.496;;;
Common bean, Light brown, PI-206003, seeds, raw;7.7;25.4748;1.4768;;7.2917;;;;;4.5227;;;
Common bean, Brown, tan and Mahogany, PI-206971, seeds, raw;10.3;17.4018;4.7541;;13.2756;;;;;1.0764;;;
Common bean, White with purple speckles, PI-206982, seeds, raw;10.8;21.2296;0.9812;;7.0468;;;;;3.6572;;;
Common bean, Light brown, PI-370581, seeds, raw;10.3;21.7074;0.897;;9.1494;;;;;3.4983;;;
Common bean, Brown, PI-379433, seeds, raw;12.4;21.1116;0.7884;;6.7452;;;;;3.8544;;;
Common bean, Solid white, PI-379502, seeds, raw;11.3;21.3767;1.4192;;18.0948;;;;;3.548;;;
Common bean, Tan, PI-415915, seeds, raw;11.3;21.9089;1.774;;13.2163;;;;;3.9028;;;
Common bean, Solid white, BBL290, seeds, raw;8.8;25.1712;0.912;;5.6544;;;;;4.2864;;;
Common bean, Solid black, PI-189568, seeds, raw;14.8;22.7484;0.9372;;9.372;;;;;3.9192;;;
Common bean, Tan with purple speckles, PI-193572, seeds, raw;9.3;22.2215;1.9954;;11.0654;;;;;1.7233;;;
Common bean, Solid white, PI-206970, seeds, raw;13.6;19.2672;1.2096;;12.2688;;;;;3.3696;;;
Common bean, Light purple, P1-313667, seeds, raw;10.7;19.3781;1.0716;;10.8946;;;;;4.0185;;;
Common bean, Dark brown, PI-361321, seeds, raw;10.5;19.4215;0.9845;;12.2615;;;;;3.401;;;
Common bean, Solid black, PI-368752, seeds, raw;12.2;19.8428;0.878;;10.7116;;;;;3.8632;;;
Common bean, Light brown, PI-376211, seeds, raw;11;24.208;0.89;;9.434;;;;;2.047;;;
Common bean, Solid white, PI-379450, seeds, raw;11.7;19.0728;1.5011;;5.6512;;;;;1.8543;;;
Common bean, Solid white, P1-379451, seeds, raw;9.6;18.8936;1.0848;;10.4864;;;;;3.9776;;;
Common bean, Solid white, P1-416289, seeds, raw;11.8;23.7258;2.4696;;9.4374;;;;;3.4398;;;
Common bean, Solid white, PI-416496, seeds, raw;11.5;19.116;1.1505;;5.31;;;;;3.717;;;
Common bean, Solid black, PI-416683, seeds, raw;8.6;22.85;1.2796;;5.6668;;;;;2.285;;;
Kidney bean, Red with irregular strips, var. Pondo-6, seeds, raw;;20.165;1.295;63.085;;;;;3.7;4.255;;;
Kidney bean, White, var. Yara-1, seeds, raw;;20.8992;1.7727;62.511;;;;;4.1985;3.9186;;;
Lima bean, Red-brown, var. TPL 88, seeds, raw;;20.7675;1.1999;61.7487;;;;;4.9842;3.5997;;;
Lima bean, White grey and black eyed, var. TPL 249, seeds, raw;;21.9936;2.4128;59.7632;;;;;4.176;4.4544;;;
Pigeon pea, Ash grey and light brown-eyed, var. Ex-Ibadan, seeds, raw;;20.4268;2.5648;60.6392;;;;;4.3968;3.5724;;;
Pigeon pea, Dark brown and black-eyed, var. TUc 5537-1, seeds, raw;;21.2245;2.244;62.458;;;;;4.114;3.4595;;;
Jack bean, White and dark brown-eyed, seeds, raw;;24.8746;2.245;51.4554;;;;;8.531;2.694;;;
Faba bean, seeds, dried, raw;;;;;;;;;;;;;
Faba bean, seeds, dried, raw;;;;;;;;;;;;;
Moth bean, seeds, whole, raw;10;22.7;;57.7;;;;;5.1;3.5;;;
Pigeon pea, seeds, whole, raw;10;21.3;;54.8;;;;;8.2;4.5;;;
Lupine, 'Lublanc', seeds, raw;;34.4277;6.32574;;;;29.9493;23.9781;13.3419;4.03989;;3.39612;5.96187
Lupine, 'Lublanc', seeds, raw;;41.6328;9.08435;;;;19.4469;9.04783;9.13;4.1998;;0.44737;10.3169
Lupine, 'Lublanc', seeds, raw;;38.1546;7.86544;;;;19.1224;13.981;11.726;3.70722;;5.76378;5.0963
Lupine, 'Lutteur', seeds, raw;;33.2879;5.40339;;;;28.1957;22.1605;12.1647;3.95117;;2.67812;6.00691
Lupine, 'Lutteur', seeds, raw;;37.6176;9.7732;;;;19.9152;8.79588;10.5108;3.69722;;6.915;11.064
Lupine, 'Lutteur', seeds, raw;;31.4168;9.2616;;;;18.9772;15.7084;12.712;3.33236;;2.9056;3.28696
